fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	learning_rate	feature_fraction	seed	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240506 002022	1063	296073	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2162	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1689	357	10285	30401731.6341829	1
20240506 013405	1063	296073	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2203	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1176	992	9836	30596287.856072	2
20240506 023258	1063	296073	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2881	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	481	1289	9397	30665131.934033	3
20240506 032743	1063	296073	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2966	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	143	1720	9394	30723487.2563718	4
20240506 044745	1063	296073	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2312	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	875	619	8074	30340818.5907046	5
20240506 054722	1063	296073	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2341	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1328	1133	9440	30626086.9565217	6
20240506 063916	1063	296073	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2747	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1901	1903	9101	30439248.8755622	7
20240506 074930	1063	296073	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1569	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	567	142	8481	30591482.7586207	8
20240506 080816	1063	296073	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3000	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	8	1574	9256	28890170.9145427	9
20240506 084506	1063	296073	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3000	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	172	124	8089	31011140.9295352	10
20240506 092550	1063	296073	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3000	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	172	124	8089	31011140.9295352	11
20240506 100811	1063	296073	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2467	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	172	491	7759	30697932.5337331	12
20240506 104952	1063	296073	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2470	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	143	742	8738	30438833.5832084	13
20240506 114312	1063	296073	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2936	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	567	1532	8203	30600895.0524738	14
20240506 130033	1063	296073	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2943	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	481	628	8958	30398083.958021	15
20240506 145845	1063	296073	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1972	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1328	255	7901	29768784.107946	16
20240506 153649	1063	296073	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2892	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	197	100	8288	31356869.5652174	17
20240506 162710	1063	296073	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2817	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	331	100	8359	30887257.8710645	18
20240506 170601	1063	296073	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2966	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	226	100	7936	31300785.6071964	19
20240506 174357	1063	296073	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2999	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	208	100	8578	31328908.5457271	20
20240506 182452	1063	296073	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2800	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	264	100	8001	31006715.1424288	21
20240506 190333	1063	296073	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2993	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	200	200	7575	30579467.7661169	22
20240506 194151	1063	296073	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3000	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	197	137	7647	30842748.125937	23
