envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	-3000	-3000	-3000	-3000	-3000	-3000	
2	-6000	-6000	-6000	-6000	-6000	-6000	
3	-9000	-9000	-9000	-9000	-9000	-9000	
4	-12000	-12000	-12000	-12000	-12000	-12000	
5	-15000	-15000	-15000	-15000	-15000	-15000	
6	-18000	-18000	-18000	-18000	-18000	-18000	
7	-21000	-21000	-21000	-21000	-21000	-21000	
8	-24000	-24000	-24000	-24000	-24000	-24000	
9	-27000	-27000	-27000	-27000	-27000	-27000	
10	-30000	-30000	-30000	-30000	-30000	-30000	
11	-33000	-33000	-33000	-33000	-33000	-33000	
12	-36000	-36000	-36000	-36000	-36000	-36000	
13	-39000	-39000	-39000	-39000	-39000	-39000	
14	-42000	-42000	-42000	-42000	-42000	-42000	
15	-45000	-45000	-45000	-45000	-45000	-45000	
16	-48000	-48000	-48000	-48000	-48000	-48000	
17	-51000	-51000	-51000	-51000	-51000	-51000	
18	-54000	-54000	-54000	-54000	-54000	-54000	
19	-57000	-57000	-57000	-57000	-57000	-57000	
20	-60000	-60000	-60000	-60000	-60000	-60000	
21	-63000	-63000	-63000	-63000	-63000	-63000	
22	-66000	-66000	-66000	-66000	-66000	-66000	
23	-45000	-69000	-69000	-69000	51000	-69000	
24	-48000	-72000	-72000	-72000	48000	-72000	
25	-51000	-75000	-75000	-75000	45000	-75000	
26	-54000	-78000	-78000	-78000	42000	-78000	
27	-33000	-81000	-81000	-81000	39000	39000	
28	-36000	-84000	-84000	-84000	36000	36000	
29	-15000	-87000	-87000	-87000	33000	153000	
30	-18000	-90000	-90000	-90000	30000	150000	
31	3000	27000	-93000	-93000	27000	147000	
32	0	24000	-96000	-96000	24000	144000	
33	-3000	21000	-99000	-99000	21000	141000	
34	18000	18000	-102000	-102000	18000	258000	
35	39000	15000	-105000	15000	15000	255000	
36	36000	12000	-108000	12000	12000	252000	
37	57000	9000	-111000	129000	9000	249000	
38	54000	6000	-114000	126000	6000	246000	
39	51000	3000	-117000	123000	3000	243000	
40	48000	0	-120000	120000	0	240000	
41	69000	-3000	-123000	117000	117000	237000	
42	114000	-6000	-6000	114000	234000	234000	
43	111000	-9000	-9000	111000	231000	231000	
44	108000	-12000	-12000	108000	228000	228000	
45	105000	-15000	-15000	105000	225000	225000	
46	150000	-18000	102000	102000	222000	342000	
47	147000	-21000	99000	99000	219000	339000	
48	168000	96000	96000	96000	216000	336000	
49	165000	93000	93000	93000	213000	333000	
50	186000	90000	90000	90000	330000	330000	
51	183000	87000	87000	87000	327000	327000	
52	180000	84000	84000	84000	324000	324000	
53	225000	81000	201000	201000	321000	321000	
54	222000	78000	198000	198000	318000	318000	
55	267000	195000	195000	315000	315000	315000	
56	288000	192000	312000	312000	312000	312000	
57	285000	189000	309000	309000	309000	309000	
58	282000	186000	306000	306000	306000	306000	
59	279000	183000	303000	303000	303000	303000	
60	276000	180000	3e+05	3e+05	3e+05	3e+05	
61	273000	177000	297000	297000	297000	297000	
62	294000	294000	294000	294000	294000	294000	
63	291000	291000	291000	291000	291000	291000	
64	312000	408000	288000	288000	288000	288000	
65	309000	405000	285000	285000	285000	285000	
66	306000	402000	282000	282000	282000	282000	
67	303000	399000	279000	279000	279000	279000	
68	348000	516000	276000	276000	396000	276000	
69	345000	513000	273000	273000	393000	273000	
70	342000	510000	270000	270000	390000	270000	
71	339000	507000	267000	267000	387000	267000	
72	336000	504000	264000	264000	384000	264000	
