fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	learning_rate	feature_fraction	seed	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240510 025404	1063	296073	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	316	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1689	357	8025	30521581.7091454	1
20240510 030736	1063	296073	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1217	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1176	992	9728	31195190.4047976	2
20240510 031935	1063	296073	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	963	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	481	1289	7967	31034472.2638681	3
20240510 032948	1063	296073	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1110	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	143	1720	9348	31037979.0104948	4
20240510 034121	1063	296073	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1006	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	875	619	8262	30719667.1664168	5
20240510 035533	1063	296073	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1662	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1328	1133	10097	31274757.1214393	6
20240510 040859	1063	296073	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1277	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1901	1903	9502	31023235.3823088	7
20240510 041730	1063	296073	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	470	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	567	142	7610	31004962.5187406	8
20240510 043122	1063	296073	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1640	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1750	1096	9106	30801160.4197901	9
20240510 044041	1063	296073	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	897	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1269	1321	10143	30652679.1604198	10
20240510 045041	1063	296073	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1178	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	172	124	10597	30643722.6386807	11
20240510 050040	1063	296073	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1178	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	172	124	10597	30643722.6386807	12
20240510 051453	1063	296073	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1718	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	942	1075	9209	30784094.4527736	13
