envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	-3000	-3000	-3000	-3000	-3000	-3000	
2	-6000	-6000	-6000	-6000	-6000	-6000	
3	-9000	-9000	-9000	-9000	-9000	-9000	
4	-12000	-12000	-12000	-12000	-12000	-12000	
5	-15000	-15000	-15000	-15000	-15000	-15000	
6	-18000	-18000	-18000	-18000	-18000	-18000	
7	-21000	-21000	-21000	-21000	-21000	-21000	
8	-24000	-24000	-24000	-24000	-24000	-24000	
9	-27000	-27000	-27000	-27000	-27000	-27000	
10	-6000	-30000	90000	-30000	-30000	-30000	
11	-9000	-33000	87000	-33000	-33000	-33000	
12	-12000	-36000	84000	-36000	-36000	-36000	
13	-15000	-39000	81000	-39000	-39000	-39000	
14	-18000	-42000	78000	-42000	-42000	-42000	
15	3000	-45000	195000	-45000	-45000	-45000	
16	0	-48000	192000	-48000	-48000	-48000	
17	-3000	-51000	189000	-51000	-51000	-51000	
18	-6000	-54000	186000	-54000	-54000	-54000	
19	-9000	-57000	183000	-57000	-57000	-57000	
20	-12000	-60000	180000	-60000	-60000	-60000	
21	-15000	-63000	177000	-63000	-63000	-63000	
22	-18000	-66000	174000	-66000	-66000	-66000	
23	-21000	-69000	171000	-69000	-69000	-69000	
24	0	-72000	168000	-72000	48000	-72000	
25	-3000	-75000	165000	-75000	45000	-75000	
26	-6000	-78000	162000	-78000	42000	-78000	
27	15000	-81000	159000	39000	39000	-81000	
28	12000	-84000	156000	36000	36000	-84000	
29	33000	-87000	153000	153000	33000	-87000	
30	30000	-90000	150000	150000	30000	-90000	
31	51000	-93000	147000	267000	27000	-93000	
32	72000	-96000	144000	264000	144000	-96000	
33	117000	21000	141000	261000	261000	-99000	
34	138000	18000	138000	258000	258000	18000	
35	135000	15000	135000	255000	255000	15000	
36	204000	12000	252000	372000	252000	132000	
37	225000	9000	249000	369000	249000	249000	
38	246000	6000	246000	486000	246000	246000	
39	267000	3000	363000	483000	243000	243000	
40	264000	0	360000	480000	240000	240000	
41	261000	-3000	357000	477000	237000	237000	
42	258000	-6000	354000	474000	234000	234000	
43	279000	-9000	351000	471000	351000	231000	
44	3e+05	-12000	468000	468000	348000	228000	
45	297000	-15000	465000	465000	345000	225000	
46	294000	-18000	462000	462000	342000	222000	
47	315000	-21000	579000	459000	339000	219000	
48	336000	-24000	576000	456000	456000	216000	
49	333000	-27000	573000	453000	453000	213000	
50	330000	-30000	570000	450000	450000	210000	
51	351000	87000	567000	447000	447000	207000	
52	372000	84000	564000	564000	444000	204000	
53	369000	81000	561000	561000	441000	201000	
54	414000	198000	558000	558000	438000	318000	
55	411000	195000	555000	555000	435000	315000	
56	408000	192000	552000	552000	432000	312000	
57	405000	189000	549000	549000	429000	309000	
58	402000	186000	546000	546000	426000	306000	
59	423000	183000	663000	543000	423000	303000	
60	420000	180000	660000	540000	420000	3e+05	
61	441000	297000	657000	537000	417000	297000	
62	486000	414000	654000	534000	414000	414000	
63	483000	411000	651000	531000	411000	411000	
64	504000	528000	648000	528000	408000	408000	
65	549000	525000	645000	525000	525000	525000	
66	570000	522000	642000	522000	642000	522000	
67	591000	519000	639000	639000	639000	519000	
68	588000	516000	636000	636000	636000	516000	
69	609000	513000	633000	633000	633000	633000	
70	606000	510000	630000	630000	630000	630000	
71	627000	627000	627000	627000	627000	627000	
72	624000	624000	624000	624000	624000	624000	
73	669000	741000	741000	621000	621000	621000	
74	690000	858000	738000	618000	618000	618000	
