fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	learning_rate	feature_fraction	seed	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240510 022944	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1689	357	9418	27303841.0794603	1
20240510 024012	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1067	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1176	992	9683	26005872.5637181	2
20240510 024456	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	112	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	481	1289	8412	25465589.2053973	3
20240510 024859	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	143	1720	9155	23390412.2938531	4
20240510 025339	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	35	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	875	619	9949	26305323.838081	5
20240510 030319	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1005	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1328	1133	9732	25694914.5427286	6
20240510 030724	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1901	1903	9335	24173830.5847076	7
20240510 031312	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	104	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	567	142	8204	28460323.838081	8
20240510 031717	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	73	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	8	100	6543	22387851.5742129	9
20240510 032306	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	113	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	647	100	9852	28467568.2158921	10
20240510 032849	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	21	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	619	288	7086	26880830.5847076	11
20240510 033424	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	113	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	583	100	9849	28450001.4992504	12
20240510 034130	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	113	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1107	100	9906	28474323.838081	13
20240510 034916	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	113	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	909	100	9907	28474802.0989505	14
20240510 035711	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	113	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1364	100	9906	28474323.838081	15
20240510 040420	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	113	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1214	100	9906	28474323.838081	16
20240510 041127	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	113	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	2048	100	9906	28474323.838081	17
20240510 041834	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	113	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1864	100	9906	28474323.838081	18
20240510 042453	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	113	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	790	100	9853	28473983.5082459	19
20240510 043201	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	113	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1548	100	9906	28474323.838081	20
20240510 043906	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	113	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1016	100	9906	28474323.838081	21
20240510 044624	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	113	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1732	100	9906	28474323.838081	22
20240510 045328	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	113	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1953	100	9906	28474323.838081	23
20240510 050002	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	113	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	870	100	9907	28474142.4287856	24
20240510 050703	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	113	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1460	100	9906	28474323.838081	25
20240510 051236	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	113	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	554	100	9805	28443890.5547226	26
20240510 051944	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	113	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1636	100	9906	28474323.838081	27
20240510 052700	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	113	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1277	100	9906	28474323.838081	28
20240510 053412	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	113	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1798	100	9906	28474323.838081	29
20240510 053951	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	113	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	564	100	9800	28443358.3208396	30
20240510 054657	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	113	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	953	100	9906	28474323.838081	31
20240510 055340	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	113	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	851	100	9907	28474322.3388306	32
20240510 055956	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	81	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	2031	182	9320	28030284.8575712	33
20240510 060719	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	113	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1684	100	9906	28474323.838081	34
20240510 061438	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	113	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1160	100	9906	28474323.838081	35
