envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	-3000	-3000	-3000	-3000	-3000	-3000	
2	-6000	-6000	-6000	-6000	-6000	-6000	
3	-9000	-9000	-9000	-9000	-9000	-9000	
4	-12000	-12000	-12000	-12000	-12000	-12000	
5	-15000	-15000	-15000	-15000	-15000	-15000	
6	-18000	-18000	-18000	-18000	-18000	-18000	
7	-21000	-21000	-21000	-21000	-21000	-21000	
8	-24000	-24000	-24000	-24000	-24000	-24000	
9	-27000	-27000	-27000	-27000	-27000	-27000	
10	-30000	-30000	-30000	-30000	-30000	-30000	
11	-33000	-33000	-33000	-33000	-33000	-33000	
12	-36000	-36000	-36000	-36000	-36000	-36000	
13	-39000	-39000	-39000	-39000	-39000	-39000	
14	-42000	-42000	-42000	-42000	-42000	-42000	
15	-21000	75000	-45000	-45000	-45000	-45000	
16	96000	192000	72000	72000	72000	72000	
17	141000	189000	69000	189000	69000	189000	
18	186000	186000	186000	186000	186000	186000	
19	207000	303000	183000	183000	183000	183000	
20	276000	420000	180000	3e+05	180000	3e+05	
21	321000	417000	177000	417000	177000	417000	
22	366000	414000	294000	414000	294000	414000	
23	411000	411000	411000	411000	411000	411000	
24	408000	408000	408000	408000	408000	408000	
25	405000	405000	405000	405000	405000	405000	
26	402000	402000	402000	402000	402000	402000	
27	447000	519000	399000	399000	399000	519000	
28	444000	516000	396000	396000	396000	516000	
29	465000	513000	393000	513000	393000	513000	
30	486000	510000	390000	510000	510000	510000	
31	555000	627000	507000	507000	507000	627000	
32	552000	624000	504000	504000	504000	624000	
33	573000	621000	501000	621000	501000	621000	
34	594000	618000	498000	618000	618000	618000	
35	615000	615000	615000	615000	615000	615000	
36	612000	612000	612000	612000	612000	612000	
37	609000	609000	609000	609000	609000	609000	
38	654000	726000	606000	606000	606000	726000	
39	651000	723000	603000	603000	603000	723000	
40	648000	720000	6e+05	6e+05	6e+05	720000	
41	669000	717000	597000	717000	597000	717000	
42	666000	714000	594000	714000	594000	714000	
43	687000	711000	591000	711000	711000	711000	
44	708000	708000	708000	708000	708000	708000	
45	705000	705000	705000	705000	705000	705000	
46	702000	702000	702000	702000	702000	702000	
47	699000	699000	699000	699000	699000	699000	
48	696000	696000	696000	696000	696000	696000	
49	693000	693000	693000	693000	693000	693000	
50	690000	690000	690000	690000	690000	690000	
51	687000	687000	687000	687000	687000	687000	
52	684000	684000	684000	684000	684000	684000	
53	681000	681000	681000	681000	681000	681000	
54	678000	678000	678000	678000	678000	678000	
55	675000	675000	675000	675000	675000	675000	
56	672000	672000	672000	672000	672000	672000	
57	669000	669000	669000	669000	669000	669000	
58	666000	666000	666000	666000	666000	666000	
59	663000	663000	663000	663000	663000	663000	
60	660000	660000	660000	660000	660000	660000	
61	657000	657000	657000	657000	657000	657000	
62	654000	654000	654000	654000	654000	654000	
63	651000	651000	651000	651000	651000	651000	
64	648000	648000	648000	648000	648000	648000	
65	669000	765000	645000	645000	645000	645000	
66	666000	762000	642000	642000	642000	642000	
67	663000	759000	639000	639000	639000	639000	
68	708000	756000	756000	636000	636000	756000	
69	705000	753000	753000	633000	633000	753000	
70	702000	750000	750000	630000	630000	750000	
71	699000	747000	747000	627000	627000	747000	
72	720000	744000	744000	744000	624000	744000	
73	741000	861000	741000	741000	621000	741000	
74	738000	858000	738000	738000	618000	738000	
75	735000	855000	735000	735000	615000	735000	
76	756000	852000	732000	732000	612000	852000	
77	753000	849000	729000	729000	609000	849000	
